Advisor,Location,Region,Sales Jan 22,Trades Jan 22,Sales Feb 22,Trades Feb 22,Sales Mar 22,Trades Mar 22,Sales Apr 22,Trades Apr 22,Sales May 22,Trades May 22,Sales Jun 22,Trades Jun 22,Sales Jul 22,Trades Jul 22,Sales Aug 22,Trades Aug 22,Sales Sep 22,Trades Sep 22,Sales Oct 22,Trades Oct 22,Sales Nov 22,Trades Nov 22,Sales Dec 22,Trades Dec 22,Sales Jan 23,Trades Jan 23,Sales Feb 23,Trades Feb 23,Sales Mar 23,Trades Mar 23,Sales Apr 23,Trades Apr 23,Sales May 23,Trades May 23,Sales Jun 23,Trades Jun 23,Sales Jul 23,Trades Jul 23,Sales Aug 23,Trades Aug 23,Sales Sep 23,Trades Sep 23,Sales Oct 23,Trades Oct 23,Sales Nov 23,Trades Nov 23,Sales Dec 23,Trades Dec 23,Sales Jan 24,Trades Jan 24,Sales Feb 24,Trades Feb 24,Sales Mar 24,Trades Mar 24,Sales Apr 24,Trades Apr 24,Sales May 24,Trades May 24,Sales Jun 24,Trades Jun 24,Sales Jul 24,Trades Jul 24,Sales Aug 24,Trades Aug 24,Sales Sep 24,Trades Sep 24
David,Shanghai,Asia,369711.01,21,532651.5,60,483653.72,30,396064.6,99,941260.78,41,893162.58,7,213387.62,93,493468.1,32,349374.21,49,412131.51,70,552538.55,13,237952.86,85,341874.44,59,25340.06,64,887798.63,70,209442.27,33,227592.72,53,981837.93,88,900209.44,58,694111.19,12,671029.83,69,269202.3,27,312535.83,42,42758.82,2,625346.31,92,586652.55,48,944117.96,58,119491.29,63,279107.1,61,260244.9,72,157599.12,2,42653.64,1,970977.16,97
Eve,Hong Kong,Asia,406370.3,69,475925.21,37,841720.86,88,536592.5,32,889432.9,67,976195.21,76,604922.05,33,462496.89,65,200264.23,15,654163.64,69,207404.67,45,258064.03,14,540439.56,32,336934.71,82,423589.79,27,641949.43,85,730655.2,63,436340.31,7,601022.58,86,473051.57,64,914591.62,32,540364.52,83,161949.31,49,12247.27,21,16241.57,38,20566.68,59,366533.05,79,44488.51,90,617058.45,12,310668.87,20,565624.41,14,260308.68,4,92497.26,88
Adam,Singapore,Asia,827124.73,0,94807.51,66,611315.15,49,379327.46,37,748154.02,50,471719.71,41,156301.93,11,967584.25,78,911618.96,41,731806.83,98,823868.1,89,89835.31,35,284670.76,29,774779.18,12,502625.91,88,534411.49,98,989049.55,30,56583.32,49,708488.93,89,943126.82,11,637249.7,6,83351.4,70,174282.97,37,596796.45,78,377807.18,69,188472.77,99,557577.31,55,742833.49,70,583619.43,70,642556.61,32,682855.14,66,421929.05,47,188907.07,70
Bob,Shanghai,Asia,787232.87,26,967479.13,84,982922.45,15,619298.08,56,315770.86,82,379236.51,67,181384.15,1,631573.98,65,868512.1,15,837578.66,89,498059.39,54,54973.25,20,16231.48,43,814671.58,97,981787.54,50,608483.24,32,39848.99,56,237206.74,75,254141.48,93,902121.59,36,748579.11,10,92733.96,21,879772.96,50,736252.56,2,267282.8,11,90318.78,42,650232.43,85,498445.32,4,213499.21,87,183365.41,99,869770.9,45,856979.12,14,258188.33,64
Eve,Cairo,Africa,590239.42,58,988537.37,82,352752.97,81,226128.12,19,602630.4,74,850148.42,15,957607.25,52,374002.07,87,45989.35,15,672557.66,79,838388.09,18,622174.45,29,962860.18,86,33120.65,46,942423.59,90,802091.71,55,365954.88,59,678535.6,74,178706.95,33,82616.9,33,807491.66,43,175506.06,85,133996.04,54,830542.48,37,379738.51,37,850205.36,20,12317.13,35,773832.28,52,191232.97,39,812622.07,1,701944.67,67,287345.35,77,281968.44,60
David,Los Angeles,America,291848.44,74,878881.32,93,787244.25,20,805938.43,56,222257.03,67,346171.8,60,898817.42,9,150060.68,63,235591.73,25,49990.38,6,744005.38,1,588570.28,58,630316.5,25,974442.86,80,419002.63,57,672822.85,99,790202.71,44,332025.65,98,701820.31,90,372530.49,1,283727.44,11,22925.83,70,29670.62,48,425772.79,64,771742.35,68,819971.32,63,624183.54,27,690434.38,0,592850.46,78,517401.72,40,716906.84,14,689327.57,90,417355.44,86
Charlie,London,Europe,674110.14,12,993880.75,39,456123.94,29,424298.7,13,37794.86,11,575767.45,11,745096.25,51,658642.6,1,290469.04,78,511686.23,62,835162.14,43,952192.14,48,403887.15,34,274682.75,58,582677.11,33,81134.26,11,25141.86,27,328339.32,21,328026.27,46,152058.84,22,562790.39,79,262015.17,90,154326.86,67,568158.15,19,297215.73,31,74389.88,97,142703.38,88,424671.22,15,748468.08,38,679010.63,72,457083.6,62,698891.25,85,886366.73,35
Adam,Paris,Europe,947712.55,78,766252.1,3,693311.36,43,494591.4,2,244704.24,83,954084.19,32,400242.83,8,36894.0,7,375184.75,0,155726.05,21,284955.49,9,301562.83,31,560246.58,1,378021.65,62,448787.76,56,548924.75,13,4677.64,0,911451.53,63,303212.07,66,15594.8,51,361054.59,92,641989.13,45,349022.56,92,740921.18,21,929621.46,99,582308.45,31,767813.1,73,625366.43,43,124705.88,14,249084.57,11,324679.92,67,907572.53,82,206583.61,33
Grace,New York,America,225130.49,85,567172.22,2,184301.09,72,681255.76,45,28072.5,72,848870.97,40,80964.81,38,282627.99,55,336453.47,98,255977.48,1,328158.81,7,396024.86,25,561622.29,48,186741.75,18,171456.35,73,42968.6,39,82661.17,8,110228.77,81,418724.16,40,152857.45,89,894178.01,89,870993.69,47,608075.25,98,961693.0,65,373976.55,1,803578.36,54,163628.19,85,71046.07,40,200198.84,30,681918.71,81,846237.52,37,451324.56,83,980496.34,83
David,Singapore,Asia,312865.19,55,867209.15,97,6518.86,93,54680.04,79,775334.68,51,140528.11,59,759192.9,51,183222.96,76,382008.89,59,339765.84,5,844941.22,45,76968.5,48,841508.6,17,153116.84,20,756393.78,71,609016.98,2,511157.35,20,560008.79,41,63414.02,46,49363.63,47,769168.88,0,883618.16,24,80843.75,92,428577.14,18,969921.98,99,301379.48,21,339502.65,58,898781.21,54,728649.31,46,906063.24,21,638056.69,50,568037.19,78,270383.31,47
David,Johannesburg,Africa,247715.16,32,679626.65,86,394351.79,10,689156.56,18,209849.88,73,747905.21,1,199657.36,5,5034.97,85,274949.91,73,177482.67,49,136771.08,15,355507.84,39,743937.61,94,927590.94,11,534155.55,94,136609.56,36,781221.76,17,839653.26,90,268175.07,87,185467.09,50,993915.77,57,859637.04,6,431019.15,96,518751.53,31,656460.32,56,520231.18,17,147936.15,59,987010.95,97,866009.9,52,493764.61,30,773308.36,54,251326.09,5,105495.62,97
Bob,Johannesburg,Africa,742097.81,44,657539.23,25,678799.63,57,124594.04,53,724160.15,5,176504.93,16,375635.1,89,672538.87,97,75208.06,65,645499.48,8,816665.81,71,370440.61,63,477329.21,44,301990.97,27,571085.03,13,810831.86,81,724418.71,73,377054.01,4,1200.42,54,528528.35,86,903718.14,62,129686.98,10,905596.46,24,473750.02,69,236167.99,51,129161.32,63,256090.59,2,794231.05,8,335495.67,74,307975.97,27,893707.19,20,171796.45,23,127389.14,58
Grace,New York,America,760877.78,21,48550.31,6,670642.32,73,528110.98,41,626357.52,71,595654.0,46,677331.31,25,761042.42,60,687212.17,14,816100.53,97,449679.96,84,390294.8,86,136124.04,57,219512.42,43,59403.26,53,372192.19,65,98258.9,86,846322.26,33,308342.95,38,233858.09,44,178533.19,68,734483.88,76,799193.79,33,910175.55,74,74209.09,8,919601.21,61,787734.34,31,222416.42,36,604412.71,41,410212.69,49,245448.48,84,824467.6,65,990.38,53
Eve,Buenos Aires,America,310473.43,36,579283.12,68,245091.9,20,770013.79,84,721507.59,69,252850.18,93,8847.85,55,621475.33,25,652766.66,82,145774.22,25,893836.39,66,963733.94,95,504029.53,34,808601.1,69,461706.12,96,306929.26,79,839603.29,70,920898.79,0,471980.33,64,620732.79,50,763964.01,88,942781.45,6,590373.74,50,853770.24,9,573445.07,40,674469.8,17,930679.96,9,182294.8,40,907567.4,29,744649.01,39,997554.86,82,238082.4,98,821294.59,45
Charlie,Cairo,Africa,199302.13,61,480070.84,50,605298.93,90,219810.97,21,672018.92,26,492038.42,45,912436.6,90,707973.76,57,11132.15,65,823529.08,89,220359.06,58,31999.92,11,212376.49,21,505942.94,88,174870.58,77,226776.51,50,127818.99,36,538158.05,62,986115.91,64,63357.03,9,602161.1,71,301092.03,21,760463.5,52,652773.11,19,433051.9,35,69924.22,65,951545.19,26,739015.81,22,448354.25,64,707402.9,33,25446.78,49,580049.53,65,46084.18,69
Frank,London,Europe,993132.85,89,171438.45,31,889901.24,43,816808.16,97,534422.47,89,642637.01,32,155093.37,37,965059.69,64,761134.48,47,907993.63,47,346392.52,94,881100.59,34,328801.97,94,578357.94,77,456397.52,64,968689.42,90,135890.07,39,773335.86,33,760925.84,92,866506.42,47,104933.89,50,723761.64,62,397255.51,89,105053.84,61,677418.14,77,305518.13,96,55673.43,40,751883.12,22,813709.58,17,718742.32,29,18477.49,37,249855.67,29,396135.45,21
Grace,Singapore,Asia,444192.69,47,448800.86,1,484613.63,42,175963.24,37,29723.65,62,509454.92,48,796993.3,19,647236.46,99,248764.02,35,412288.12,12,28221.29,89,754410.64,34,377209.09,44,558406.36,7,952824.19,26,62308.04,28,219149.57,55,745668.15,36,493236.89,33,729380.63,20,117231.94,98,553807.3,94,881050.39,64,64195.31,16,57648.23,7,296219.13,78,978788.5,99,958889.26,78,844685.94,11,939199.62,20,436229.85,1,224826.7,44,847110.54,24
Bob,Johannesburg,Africa,681319.48,33,383500.22,27,371725.82,10,441456.06,73,742527.25,34,333860.22,40,997828.27,65,527917.73,32,3513.61,47,677282.58,95,243343.02,49,693690.38,27,793499.84,65,753751.48,49,450982.56,65,792644.64,60,67349.67,6,15712.69,97,261453.57,52,360848.74,60,394229.18,53,573012.9,97,257406.33,15,887581.08,78,792842.57,22,335992.41,66,397942.83,44,804169.08,32,480244.92,56,302485.02,82,787550.09,64,270291.51,9,108110.09,47
Eve,London,Europe,298896.3,41,597927.19,57,250372.79,61,327198.88,21,971040.91,38,611014.33,59,558432.8,16,78314.33,43,331053.71,24,737768.18,16,430239.9,7,436597.1,32,144491.23,83,757152.9,46,884754.17,33,548964.68,31,245085.32,37,855989.3,6,226147.36,67,543792.75,56,644111.47,4,860178.5,43,633066.27,30,919005.63,44,736795.0,56,804876.39,29,699375.3,54,988023.81,82,683353.36,26,181034.89,59,520271.7,6,150139.55,10,472826.87,44
David,Berlin,Europe,286616.04,63,176562.48,33,612977.83,59,205033.39,33,18660.31,62,260045.53,46,936489.72,25,438154.92,56,538610.46,53,667033.48,25,218337.45,26,303510.75,61,312615.54,87,733066.05,81,653371.02,49,346418.3,48,254264.66,9,424635.98,80,253703.89,29,939098.61,60,626463.68,45,961447.34,52,69421.84,51,878733.57,58,47457.36,44,191786.97,56,129825.82,87,378179.69,4,521036.01,78,207856.78,25,106832.66,35,888153.38,69,817291.32,63
Grace,Madrid,Europe,909177.08,78,14967.86,35,504063.68,73,686599.0,90,105300.24,79,407745.98,52,347959.33,16,621912.14,7,7621.23,21,534094.41,66,98524.1,65,722464.92,63,552688.79,31,169542.81,98,460994.93,63,975998.39,60,152421.9,37,942510.62,31,184237.46,72,285651.29,42,467039.73,13,899491.59,41,975579.22,80,529727.8,88,165225.79,56,777115.55,2,156699.88,66,90940.93,61,91606.41,65,14496.27,72,737687.31,6,376685.5,54,750469.46,60
Frank,Johannesburg,Africa,255088.96,63,165886.96,12,56503.72,22,601019.06,67,393978.7,13,370123.41,25,552352.28,34,330764.75,56,713897.43,57,935311.17,87,328579.11,54,578175.88,75,229570.92,47,436074.06,65,940548.49,88,573162.83,63,338561.44,78,501529.53,98,237439.89,88,164755.59,98,292557.13,75,604637.88,38,684206.18,4,47143.79,59,142865.03,80,985454.61,45,267969.37,90,910017.85,23,101700.92,24,454873.11,83,132086.3,63,912355.73,72,67625.21,26
Frank,Paris,Europe,261076.81,8,892453.17,6,37185.09,14,989142.91,8,244493.24,62,890398.23,61,333595.41,73,473908.87,89,255896.08,96,664774.74,78,8554.61,78,544291.51,83,813036.0,31,578694.79,16,878200.33,71,271260.53,0,37249.28,11,256853.08,42,570136.9,75,618827.22,36,139742.82,53,329126.07,24,797947.41,19,872733.56,42,30914.94,52,381577.4,3,555611.54,21,235958.04,29,275046.62,52,520833.48,26,384406.21,0,555409.26,77,523798.98,98
Bob,Rome,Europe,892023.04,66,604443.51,46,935505.35,48,163303.38,8,885256.95,87,808891.77,10,50806.16,88,331364.61,86,332256.56,77,941986.48,11,24817.29,11,175823.94,26,402846.81,37,735006.4,27,548210.14,35,690913.16,58,806857.61,47,947058.3,15,265104.19,34,239230.05,45,558267.6,71,983137.91,32,63223.11,14,420806.57,69,375166.65,24,911102.02,42,438663.74,55,348296.96,23,268151.36,20,94473.01,1,236517.54,88,368562.9,9,290490.18,97
Adam,Singapore,Asia,115874.11,52,461097.63,22,905626.01,68,941163.79,85,505895.2,43,692182.94,39,148020.25,47,416990.92,16,689330.82,96,603532.03,47,442110.53,61,333861.33,37,57708.42,51,63014.24,75,116508.52,96,381294.88,77,305656.9,84,918669.09,66,941257.0,84,894206.5,63,127556.21,42,463189.03,38,442977.79,98,892858.39,97,976563.97,34,321738.24,19,574144.72,4,910804.31,86,603001.78,96,235978.96,8,46567.07,75,699972.86,56,721228.05,75
Bob,Toronto,America,306269.24,96,594963.7,51,339092.7,45,514845.11,46,18181.56,52,157063.57,11,98351.92,18,516647.78,70,402797.25,84,688945.95,52,271418.9,60,811159.05,38,231460.8,97,770549.79,47,575981.76,73,589528.41,76,489256.55,67,354059.9,62,949514.09,47,236273.48,94,933928.83,89,381496.41,29,830034.17,37,703642.94,66,321454.03,24,70838.33,95,860316.55,49,756866.63,96,77290.17,78,821372.77,45,556143.23,61,618829.47,26,208964.69,55
Frank,Lagos,Africa,577318.06,11,54875.96,21,653984.25,29,166678.33,80,963210.17,21,673847.82,47,751221.62,35,975625.6,25,42168.21,46,414788.87,26,755806.05,3,534678.25,54,307321.69,92,268157.5,28,563132.86,57,167339.12,81,34733.34,92,326710.05,16,798319.84,24,7973.58,66,207090.9,70,577996.61,81,602003.4,91,186583.69,57,188164.07,33,831869.09,95,506600.23,52,37056.95,93,873701.45,9,568429.09,60,835064.27,25,136468.13,64,988453.92,78
David,London,Europe,668828.34,39,485586.36,41,718479.78,54,986272.86,34,307661.79,10,950803.13,36,427857.92,58,274409.17,1,683727.33,18,626732.32,55,751067.9,17,784878.74,49,378352.18,97,165287.21,49,755738.72,91,178216.67,57,850660.21,48,77347.34,38,306095.49,90,340784.36,52,36175.67,1,479667.0,35,981228.11,99,392553.15,66,89581.53,14,229125.96,42,897173.23,26,779477.82,80,733745.86,19,169864.71,53,432465.49,82,455315.73,11,774844.19,97
Charlie,Los Angeles,America,890954.79,84,588490.75,86,903700.0,98,715299.57,50,893528.97,9,333988.1,3,666071.34,38,155478.77,99,220816.22,88,676063.57,1,959429.5,23,251980.75,29,80652.98,2,553715.0,40,807461.93,40,244485.37,2,674287.78,35,571175.64,43,582236.85,95,555061.99,81,205721.24,87,226803.07,37,917629.24,71,549051.51,27,778242.01,24,816710.08,80,368893.95,23,569377.64,20,773942.73,84,492941.68,27,321462.19,45,992165.49,17,942174.74,73
Eve,Berlin,Europe,890569.19,82,304769.4,96,628920.53,56,967916.44,4,278525.04,39,186170.21,74,721423.02,79,512127.05,83,882642.37,11,463007.85,47,346518.82,40,608440.94,34,120358.95,53,802958.93,27,814029.99,86,184425.26,13,397936.66,46,844376.28,62,598508.54,50,335424.05,95,129077.68,60,290187.46,56,109974.52,60,974500.02,33,838903.14,20,930932.59,99,259567.36,61,189588.58,55,409126.98,28,390734.97,40,772340.01,97,441132.81,85,43835.94,19
David,Rome,Europe,488376.09,37,172905.67,92,686747.68,10,190408.64,37,171245.11,87,250230.2,53,759843.26,98,742777.13,90,643992.13,60,75753.83,90,121498.8,17,515679.02,50,259019.89,29,837324.19,67,260099.83,36,360527.55,69,254981.46,45,662673.57,73,931125.06,16,503983.89,62,935203.53,2,15875.47,52,777394.37,7,565322.78,86,139388.52,82,513697.52,33,570582.39,45,524877.64,10,365773.02,58,500668.43,83,845925.46,98,320759.35,8,515494.8,0
Frank,Toronto,America,650335.81,39,391291.63,48,746948.34,28,177811.92,91,69372.63,7,472617.59,23,671440.77,17,198336.14,16,717820.75,57,153786.78,51,343268.53,26,690973.33,76,491762.82,16,878912.01,6,705448.48,1,743088.91,90,942010.38,80,66328.19,21,743354.21,22,423780.01,38,908058.13,74,900985.03,85,857834.15,65,22461.57,99,475627.39,97,470005.4,0,204584.81,77,78870.41,25,278391.94,47,54141.95,86,59198.46,34,924576.1,26,350743.16,82
Adam,Singapore,Asia,718400.84,27,821035.23,28,902921.04,69,210994.38,26,930209.6,76,489271.0,95,579407.3,37,28201.05,19,141591.74,33,645647.73,98,46959.55,79,467260.74,26,697800.04,1,478587.74,38,394233.96,26,781269.17,65,570234.48,78,449761.37,49,58145.74,64,993720.05,51,66297.41,46,422210.88,25,971479.7,50,768278.42,84,265371.42,3,195369.23,38,577597.39,17,435520.5,8,668812.14,85,720440.0,68,778292.5,88,959040.05,88,839769.2,85
David,Los Angeles,America,496888.84,68,222080.49,19,463763.9,49,452942.1,60,746186.84,50,617333.58,81,263144.92,48,90627.03,4,440163.79,21,538371.95,24,624687.38,22,671396.43,14,794385.12,37,542854.58,27,113792.34,39,963647.82,13,176338.34,69,744033.43,13,373400.22,9,291719.0,13,784874.76,96,973629.04,59,523523.45,27,303238.57,16,570532.25,10,456565.02,74,118166.84,0,782782.41,18,927886.08,36,979378.26,65,635341.33,44,534266.88,37,114179.33,21
Charlie,Shanghai,Asia,51882.39,13,81580.36,79,408098.67,38,240709.87,25,79855.36,65,543467.06,40,289594.6,98,817402.4,27,530812.57,26,125979.9,27,948779.86,68,119616.56,24,176049.95,16,352937.42,49,672115.4,64,252438.25,74,458875.37,44,985178.48,80,287812.76,54,562475.21,85,3648.3,0,867093.0,81,485299.01,43,714775.67,1,276096.76,70,587455.37,74,406718.76,16,465161.14,41,865450.57,11,592292.4,11,486547.53,87,630238.0,29,404568.01,36
Eve,Buenos Aires,America,33464.8,82,381871.31,93,347486.17,23,201969.73,43,928368.35,54,557789.04,59,62903.59,71,439829.8,26,210522.64,13,567915.79,84,789275.79,92,973869.87,2,135237.45,97,597162.53,49,473464.96,25,821252.15,41,12594.13,18,680843.35,58,419617.44,66,211033.1,74,357502.26,63,266351.41,80,775674.9,31,323426.65,20,672906.35,41,101855.06,9,722741.08,40,233418.11,59,390171.36,30,357942.59,62,736869.92,78,135319.13,33,74794.69,11
Eve,Tokyo,Asia,868704.4,49,352784.38,63,563981.37,30,690871.9,78,691692.53,23,620842.04,17,233143.57,62,952214.09,3,930379.93,63,741654.24,54,809946.92,38,360034.67,72,495062.83,3,247318.55,24,976808.1,52,983889.86,41,125349.18,58,626099.39,94,810453.22,26,187051.48,57,603195.08,47,631706.31,7,335257.05,93,950661.01,42,859131.9,48,314687.68,34,843388.07,15,351345.18,4,141435.21,34,282295.95,2,669041.32,89,796210.72,80,827377.8,51
Grace,Paris,Europe,638216.96,86,313967.81,91,156189.83,99,5023.08,32,238028.88,59,202621.29,37,795419.86,94,81248.3,16,5100.19,26,433445.48,23,2408.79,5,296067.32,47,33405.67,67,909139.5,23,474500.44,13,828761.95,54,952066.65,92,963721.61,88,205580.1,82,390194.75,74,271665.95,4,289599.28,91,640417.91,26,774206.38,50,732273.94,10,252903.99,87,943918.85,21,222845.54,14,980905.12,97,377168.45,84,787420.61,33,630610.72,51,748188.69,79
Grace,Rome,Europe,719875.39,35,122990.87,5,248500.7,20,640417.37,90,349905.59,98,253049.37,0,541406.27,18,292552.33,83,457146.55,2,819376.32,33,982885.1,20,964530.09,67,339110.05,48,842993.43,78,630268.75,86,585238.36,73,242997.11,45,467123.91,65,551451.32,53,927042.4,89,947808.69,2,751127.84,19,60272.12,27,102817.98,75,794084.69,66,633954.53,41,75491.23,86,95039.02,79,927589.91,81,567005.63,5,8781.3,13,569395.5,64,570499.92,78
Frank,Hong Kong,Asia,411178.08,5,661303.86,11,262896.6,63,978149.88,95,421677.49,30,725187.13,29,810540.77,19,459972.37,86,340819.74,98,84328.13,70,673486.05,1,234067.95,36,629101.83,29,248333.34,14,917482.74,50,658564.76,51,312979.14,82,61129.28,73,691869.36,31,960010.98,82,114975.11,90,394281.96,33,22565.53,89,656711.7,50,355865.24,10,927315.1,9,282753.63,39,555632.13,46,274714.54,83,815882.66,52,985160.62,13,838680.64,39,812738.3,80
David,London,Europe,198607.55,16,642458.47,39,520593.09,20,749527.14,68,688311.92,11,830988.55,98,292056.06,16,416313.09,43,452967.69,3,947094.12,53,101351.4,48,457776.65,92,57042.2,97,904398.99,49,608613.35,72,899733.88,80,525625.59,89,237574.59,43,407542.16,12,696362.28,62,542569.95,39,993274.63,93,842518.38,11,436238.49,66,995737.5,45,28646.87,95,354880.26,67,845377.83,16,818914.62,68,97458.26,10,681197.97,72,904932.47,97,602795.28,9
Frank,Johannesburg,Africa,338022.47,79,382135.98,16,470598.59,10,794076.2,59,870128.88,28,480299.9,59,974863.91,59,66442.73,78,672680.15,80,693623.26,33,219989.54,3,244938.93,86,677462.3,76,495655.17,46,528494.21,92,256010.88,0,545676.96,81,186805.93,80,613069.51,13,330552.41,36,916143.4,0,146591.06,93,185285.56,37,69345.24,66,62944.46,3,666236.94,14,937326.75,36,390547.1,96,314880.04,63,133569.19,12,19661.39,93,904759.03,61,710410.09,55
Frank,Singapore,Asia,721045.95,95,434487.52,19,444935.47,69,337062.36,49,786855.01,2,844477.54,77,345160.66,44,659048.06,18,924477.77,22,930784.57,92,405163.26,85,194698.27,59,365049.99,37,929651.42,56,667545.03,43,639403.05,12,466044.09,88,174472.8,7,561515.31,89,794856.06,0,709244.77,24,264858.87,29,431349.62,58,277276.47,85,124424.16,77,84710.85,21,301637.84,58,775906.82,60,567193.94,68,728085.93,3,120955.16,2,576635.3,6,510051.59,60
Grace,Berlin,Europe,687203.18,1,808368.87,34,715834.64,79,49196.52,34,274334.73,58,90001.23,70,317536.11,34,936269.61,85,908376.38,85,675577.78,10,975912.99,69,832469.26,86,556367.7,64,60237.64,52,904478.54,28,506267.07,41,453235.11,41,991721.43,85,32592.92,88,11001.05,6,643057.88,39,278441.56,24,530775.68,18,663217.29,28,124845.12,62,884717.86,96,336400.42,36,510869.17,44,986528.74,69,202170.8,77,106052.22,86,585933.74,91,680567.46,72
Frank,Johannesburg,Africa,146372.16,99,961852.64,55,575435.75,8,469316.41,37,614971.89,2,515495.88,76,952965.27,64,389938.18,37,932767.68,74,508627.08,51,387097.14,74,793597.4,68,116948.12,87,644694.48,4,842276.5,61,160797.95,99,789824.4,10,426413.11,7,678999.8,57,164830.54,47,31164.41,91,398582.68,0,494712.73,63,613077.92,34,569157.67,14,359027.87,23,558270.73,21,844403.14,59,980616.39,28,767988.04,96,557378.58,27,532554.16,99,611018.61,67
Grace,Cairo,Africa,58093.22,26,915069.64,63,825521.99,56,86196.67,77,332598.34,84,74367.29,36,134026.57,44,754744.11,80,243465.1,17,712401.2,66,622923.19,97,210609.08,62,776528.22,44,519017.74,62,562676.13,11,62305.36,48,41574.83,85,227838.13,75,61053.17,69,963884.31,91,683839.02,36,877338.4,44,637629.31,5,113262.33,73,303757.72,64,275905.02,40,816650.5,45,911538.98,84,41186.29,25,81618.39,98,998489.86,84,615461.75,22,171159.98,25
Bob,Los Angeles,America,395733.67,51,184936.32,28,763633.98,96,671415.46,37,659087.35,42,401987.3,83,729102.2,76,544708.53,16,532494.09,26,772905.44,69,19384.0,33,315171.9,45,743134.17,43,24933.23,57,467927.25,55,715827.66,5,151123.01,42,185329.84,56,61019.29,98,714401.94,76,657546.82,61,834469.88,54,252412.12,3,565859.62,12,307679.51,38,552224.26,75,632756.48,61,604111.57,71,292272.26,96,488588.75,95,91074.36,98,905833.79,64,551971.09,52
Grace,London,Europe,275982.67,70,455416.33,67,319712.44,22,9078.06,50,796386.24,97,439583.09,10,634961.21,88,632689.04,91,825356.55,75,773238.08,89,102977.45,91,58213.64,11,131127.84,27,628739.7,55,429968.05,70,183468.98,7,860863.89,23,373430.19,23,554483.17,77,519037.06,67,685644.87,57,710159.35,39,681058.57,89,343988.54,69,329453.37,7,95959.88,41,828682.18,40,184518.39,66,882807.44,31,386587.47,37,19564.48,97,141780.63,19,219993.29,56
Eve,London,Europe,550537.98,54,180030.98,26,930120.32,75,767174.97,4,523530.6,85,32968.9,46,577841.41,38,558780.67,54,133406.77,74,112786.44,85,528301.11,2,298686.42,39,94987.82,55,7720.15,11,277121.68,29,222322.91,25,189493.57,30,480915.69,43,551944.59,38,459667.37,83,778248.86,51,821563.26,5,420383.72,40,623765.03,78,745305.53,67,659841.13,8,523969.92,67,68589.48,37,592717.34,11,163903.45,16,736179.95,98,538502.01,17,181490.7,87
Charlie,Hong Kong,Asia,949683.05,24,641902.38,78,212554.01,30,918065.44,46,363103.93,83,906167.78,34,14011.98,8,604253.48,69,743719.1,74,604874.31,26,589651.19,27,682114.14,21,584816.55,73,240971.46,85,903191.43,66,736152.42,61,84604.14,31,667980.08,79,196141.41,44,806814.09,86,74094.6,16,559588.32,0,469912.1,60,436702.63,70,37521.39,54,472635.03,3,116220.69,3,870516.83,1,33712.88,39,869133.84,37,807884.36,72,812000.47,44,42617.97,76
Adam,Madrid,Europe,437354.63,45,869331.92,49,461086.46,62,599502.31,42,306554.22,78,790847.62,91,765881.68,12,84253.31,11,367580.41,66,83075.54,69,856066.0,23,365509.31,34,771834.8,81,415351.24,16,188372.57,53,235341.62,71,125088.96,22,681544.69,93,984002.17,0,459560.51,53,604904.87,28,914101.28,32,678622.38,18,637680.51,35,437645.06,44,576635.63,26,510965.09,48,941033.29,27,335633.58,74,185326.68,51,451575.39,36,619963.03,73,386602.62,35
Frank,Singapore,Asia,332985.38,1,414167.0,39,541707.61,20,530793.18,38,294552.58,27,645999.04,81,727386.62,80,471633.17,85,260312.21,67,658917.01,2,825790.76,66,988089.16,41,849307.2,32,782041.82,71,230912.65,36,697784.9,42,988347.89,10,808673.1,23,793299.66,77,728862.36,88,597508.39,15,731575.8,68,527436.57,75,515939.88,27,342475.19,97,663911.48,27,165044.89,57,364338.76,11,100583.06,37,539460.37,93,414254.51,91,969001.4,18,47212.02,10
Grace,Toronto,America,879149.03,83,604465.13,7,46782.87,43,329870.91,47,654918.91,26,982615.52,75,482613.08,57,528106.08,41,562094.2,92,692954.08,13,994245.79,2,459507.51,23,458519.77,35,28927.68,26,366424.05,9,805074.92,85,542386.47,96,277544.56,34,472366.29,0,214173.91,51,780835.45,13,774141.26,99,839071.57,87,632484.16,68,585290.68,49,204292.7,63,208982.06,35,944121.61,92,748062.18,7,956074.02,46,876592.71,26,468743.55,56,679001.53,89
Eve,Los Angeles,America,68927.96,30,195560.92,64,486285.95,68,733059.61,6,578924.09,28,55267.07,63,196749.8,20,899977.44,92,880241.6,55,73595.63,68,119490.47,85,303448.22,69,831606.7,70,789262.08,70,145530.19,94,329339.52,74,732587.42,75,336728.39,49,852076.36,45,809725.05,61,161314.07,99,111982.45,97,898828.23,4,226192.03,53,857019.56,64,485030.36,99,183886.59,64,780800.47,14,802478.0,85,936557.96,15,548620.93,28,757244.35,2,321041.03,84
David,Tokyo,Asia,398862.34,37,855581.41,65,258708.56,29,894117.51,26,930169.69,81,110681.03,72,953240.64,5,874604.18,25,127082.82,24,800690.56,63,48845.11,65,716609.19,32,53835.94,11,350336.32,39,988650.31,74,712968.77,67,507979.26,48,653210.51,22,629951.96,41,926186.29,5,168554.17,53,173726.69,13,888247.49,77,461366.28,84,374925.87,99,363671.71,96,561228.43,86,679371.44,4,343747.71,94,87763.36,59,260703.54,34,709451.27,94,376156.93,70
